Token,POS
Khupha,V
iforomo,DEM
lesibawo,DEM
namkha,CONJ
lifumane,V
e-ofisini,LOC
eliseduze,REL
le-SARS,DEM
.,PUNCT
,
Iforomo,DEM
lesibawo,DEM
kufanele,V
lizaliswe,V
mbawi,N
ingasi,V
omunye,ADJ01
umuntu,N01
",",PUNCT
nakungasi,V
njalo,ADV
isibawo,N
asizukutjhejwa,V
.,PUNCT
,
Sibawa,V
ufunde,V
umhlahlandlela,N03
wesibawo,REL
ukukurhelebha,V
ekambisweni,V
yakho,POS09
yelayisense,N05
.,PUNCT
,
Esigabeni,N07
somHlobo,N
weKlayenti,N
,
qala,V
ibhokisana,V
loMenzi,N04
we-AGOA,V
ngaphasi,P
kokutlolisa,REL
.,PUNCT
,
Esigabeni,N07
seMininingwana,N04
yoMenzi,N04
we-AGOA,N
veza,V
,
igama,N05
lokwenza,V
ibhizinisi,N05
lebhizinisi,N05
yakho,POS09
,
indawo,N09
lapho,DEM02
kutholakala,V
ibhizinisi,N05
(,PUNCT
isibonelo,N07
",",PUNCT
iplodo,N
10,POS
),PUNCT
,
igama,N05
lestrada,V
nenomboro,P
yebhizinisi,N05
,
isabhabhu,N
lapho,DEM02
ibhizinisi,N05
litholakala,V
khona,PRON15
,
idorobha,N
elikhulu,ADJ05
namkha,CONJ
idorobha,N
lapho,DEM02
ibhizinisi,N05
litholakala,V
khona,PRON15
;,PUNCT
kanye,ADV
,
nekhodi,N
yestrada,V
yesabhabhu,N
lapho,DEM02
ibhizinisi,N05
litholakala,V
khona,PRON15
.,PUNCT
,
Isigaba,N07
seGunya,V
lokwenza,V
isiBawo,N
kufanele,V
sizaliswe,V
kuphela,V
ngusomabhizinisi,V
oyi-sole,PRN
proprietor,N
",",PUNCT
mnqophisi,N
",",PUNCT
"ma-partner,lilunga",REL05
",",PUNCT
yi-trustee,N
namkha,CONJ
mumuntu,N
ophethe,V
ibhizinisi,N05
lokha,CONJ
nakenza,V
isibawo,N
sokutloliswa,POS
njengomenzi,N
okhethekileko,N
wepahla,POS
we-AGOA,V
.,PUNCT
,
Igama,N05
lombawi,N
namkha,CONJ
igama,N05
lokutloliswa,P
kwegama,N05
lehlangano,POS
ingasi,V
igama,N05
lokwenza,V
ibhizinisi,N05
kufanele,V
livezwe,V
kileli,P
ziko,N
.,PUNCT
,
nakuvela,V
i-asterisk,N
(,PUNCT
*,PUNCT
),PUNCT
",",PUNCT
sula,V
lokho,DEM02
okufaneleko,REL
.,PUNCT
,
Esigabeni,N07
sesiFungo,N
",",PUNCT
veza,V
okulandelako,REL
:,PUNCT
,
ama-initjhiyali,V
nesibongo,N07
somuntu,N01
owenza,V
isibawo,N
selayisense,N05
,
ubujamo,N
bomuntu,N01
owenza,V
isibawo,N
",",PUNCT
isibonelo,N07
",",PUNCT
uMnqophisi,DEM
",",PUNCT
uMphathi,N
",",PUNCT
uMnikazi,N01
,
umuntu,N01
owenza,V
isibawo,N
kufanele,V
atlikitle,V
iforomo,DEM
lesibawo,DEM
,
ilanga,N05
okutlikitlwe,REL
ngalo,ADV
isibawo,N
,
indawo,N09
lapho,DEM02
kwatlikitlelwa,V
isibawo,N
.,PUNCT
,
Zalisa,V
iforomo,DEM
lesibawo,DEM
bewulilethe,V
e-ofisini,LOC
eliseduze,REL
lomThelo,N
wePahla,POS
le-South,DEM
African,LOC
Revenue,P
Service,P
.,PUNCT
,
Namathisela,V
amakhophi,N06
wamambala,REL
namkha,CONJ
aqinisekisiweko,LOC
wemitlolo,N
elandelako,REL
eforomini,LOC
lesibawo,DEM
:,PUNCT
,
isitifikhethi,N
sokutloliswa,POS
kwebhizinisi,N05
njengombana,ADV
sikhutjhwe,V
Mtlolisi,N
wamaKampani,N
namkha,CONJ
ngu-Master,N
of,POS
the,N05
Supreme,V
Court,N
ebujameni,V
be-Trust,P
.,PUNCT
,
isiqunto,N
namkha,CONJ
imvumo,N09
namkha,CONJ
elinye,ADJ05
igunya,N05
elisebenzako,REL
.,PUNCT
,
imvumo,N09
yomNyango,LOC
wezokuRhwebelana,POS
namaBubulo,N06
nayifunekako,N
,
iindlela,V
yokwenza,V
nayikuthi,ADV
wenza,V
isibawo,N
ngaphasi,P
kwe-ayithemu,N
yokubuyiselwa,V
imali,N09
oyibhadeleko,N
607.04.10(02),PUNCT
",",PUNCT
607.04.10(03),PUNCT
",",PUNCT
607.04.10(09),PUNCT
no,CONJ
607.04.10(12),PUNCT
,
iincwadi,N
zokuzazisa,V
ebujameni,V
besakhamuzi,N07
seSewula,LOC
Afrika,LOC
,
imitlolo,DEM
yephaspoti,N
ebujameni,V
:,PUNCT
,
bomuntu,N01
ongasi,V
sisakhamuzi,V
,
be-close,N
corporation,LOC
ne-trust,P
-,PUNCT
woke,QUANT03
amalunga,N06
",",PUNCT
abalingani,N02
namkha,CONJ
ama-trustee,N
,
bekampani,N
-,PUNCT
boke,QUANT06
abanqophisi,REL
",",PUNCT
kufaka,V
umnqophisi,DEM
ophetheko,REL
nomnqophisi,REL
weemali,P
.,PUNCT
,
I-Crime,N
Stop,ADV
mihlobo,N04
eminengana,V
yamasentha,V
wokufuna,V
irhelebho,N
ngokudosa,ADV
umtato,N
asebenza,V
ukubuthelela,V
ilwazi,V
