Token,POS
Umnqopho,N
wewebhusayidi,N
yemiSebenzi,N04
yomBuso,N03
weSewula,LOC
Afrika,LOC
kunikela,V
ngomthombo,N03
munye,NUM03
welwazi,V
ngemisebenzi,N04
enikelwa,V
mbuso,N03
weSewula,LOC
Afrika,LOC
.,PUNCT
,
Umnqopho,N
kukwehlisa,V
ukungalingani,V
okukhona,ADV
phakathi,ADV
kwalabo,DEM02
abanikelwe,V
amandla,REL06
nalabo,ADV
abangakanikelwa,V
",",PUNCT
umnotho,N03
wokuthoma,V
newesibili,POS
.,PUNCT
,
Iwebhusayidi,N
kungenelela,V
okuqakathekileko,ADV
okuhlose,V
ukuqinisekisa,V
bonyana,CONJ
izakhamuzi,N08
zizakukghona,V
ukuthintana,V
nombuso,N03
.,PUNCT
,
Abasebenzisi,V
abahlosiweko,N
balewebhusayithi,V
zizakhamuzi,V
zeSewula,LOC
Afrika,LOC
kiwo,ADV
woke,QUANT01
amahlangothi,N
wenarha,ADV
",",PUNCT
amabhizinisi,N06
weSewula,LOC
Afrika,LOC
akhona,ADV
nasazokuba,POS
khona,CONJ
namkha,CONJ
iinhlangano,LOC
",",PUNCT
izakhamizi,N
neenhlangano,ADV
ezibuya,V
kwezinye,N08
iinarha,N
ezifuna,V
imisebenzi,N04
embusweni,N03
weSewula,LOC
afrika,LOC
.,PUNCT
,
Ikoro,N
eqakathekileko,POS
yabasebenzisi,V
ibunjwa,V
ziinkhungo,N
zokungenelela,V
ezifana,V
nama-Multi-purpose,POS
Community,P
Centres,N
(,PUNCT
ama-MPCC,N
),PUNCT
",",PUNCT
abaSebenzi,N02
bokuThuthukiswa,P
komPhakathi,N03
(,PUNCT
ama-CDW,N
),PUNCT
kanye,ADV
ne-Batho,POS
Pele,V
Gateway,N
Call,V
Centre,N
",",PUNCT
ezizakurhelebha,V
ukukghonakalisa,ADV
ukusetjenziswa,N
kwewebhusayidi,N
ngilabo,P
abangakghoniko,POS
ukusebenzisa,V
bunqopha,ADV
i-inthanethi,COP
.,PUNCT
,
Ubungako,N14
belwazi,V
elikulewebhusayidi,N
,
Ilwazi,V
ngemisebenzi,N04
yombuso,N03
,
Iwebhusayidi,N
inelwazi,V
ngemisebenzi,N04
yombuso,N03
enikelwa,V
ezingeni,N09
lombuso,N03
wesitjhaba,ADV
.,PUNCT
,
Ilwazi,V
ngemisebenzi,N04
lihlukaniswa,V
ngokuya,V
kwemihlobo,N04
emithathu,ADJ04
yemisebenzi,N04
:,PUNCT
,
Imisebenzi,N04
eyenzelwa,V
abantu,N02
:,PUNCT
imisebenzi,N04
eyenzelwa,V
izakhamuzi,N08
zeSewula,LOC
Afrika,LOC
ehlelwe,V
ngokuya,V
kwezehlakalo,N08
zepilo,N
,
Imisebenzi,N04
eyenzelwa,V
iinhlangano,LOC
:,PUNCT
imisebenzi,N04
ekhambelana,V
neenhlangano,ADV
namabhizinisi,N06
,
Imisebenzi,N04
eyenzelwa,V
amaphandle,N06
:,PUNCT
ilwazi,V
eliqaliswe,V
ezakhamizini,V
zeenarha,V
zangaphandle,ADV
ezifuna,V
imisebenzi,N04
efaneleko,REL
embusweni,N03
weSewula,LOC
Afrika,LOC
.,PUNCT
,
Elinye,POS06
nelinye,ADV
lamahlangothi,REL
la,DEM01
libunjwa,V
ngendlela,N09
ekhambisana,V
nokulandelana,V
kwezehlakalo,N08
zepilo,N
(,PUNCT
izehlakalo,N08
ezitholakala,V
epilweni,LOC
yesakhamuzi,N07
namkha,CONJ
ibhizinisi,N05
),PUNCT
.,PUNCT
,
Izehlakalo,N08
zepilo,N
godu,IDEOPH
zihlukaniswa,V
ngokuya,V
kweengaba,N
zepilo,N
.,PUNCT
,
Ilwazi,V
ngomunye,ADV
nomunye,ADV
umsebenzi,N03
lihlelwa,V
ngokuya,V
kweendawo,N
ezilikhomba,V
eziqakathekileko,ADV
",",PUNCT
oku,P
",",PUNCT
yihlathululo,N
:,PUNCT
amagadango,N
okufanele,V
alandelwe,V
;,PUNCT
imithetho,N04
esetjenziswako,P
;,PUNCT
amazinga,N06
wokusebenza,V
nesikhathi,N07
;,PUNCT
iindleko,N
;,PUNCT
amaforomo,N
azaliswako,POS
nemininingwana,N04
yokuthintana,V
.,PUNCT
,
Ilwazi,V
elikhambelanako,REL
,
Isigabesi,N
sewebhusayidi,N
sivezwa,V
ngebha,P
yokuzuma,V
ilwazi,V
ku-inthanethi,COP
",",PUNCT
inamathintwano,N
akhambelana,LOC
namawebhusayidi,N
walesosehlakalo,POS
sepilo,POS
.,PUNCT
,
Amalimi,N06
,
Kilewebhusayidi,N
kutholakala,V
amalimi,N06
ali-11,REL
",",PUNCT
okungilawa,P
i-English,N
",",PUNCT
Afrikaans,N
",",PUNCT
isiNdebele,N07
",",PUNCT
isiXhosa,N07
",",PUNCT
isiZulu,N07
",",PUNCT
isiPedi,N07
",",PUNCT
isiSuthu,N07
",",PUNCT
isiTsonga,N07
